🕘️更新时间,#genre#
2026-09-01 01:28:34,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源

📺央视频道,#genre#
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CETV-4,https://live.chinacert.cftest5.cn/cnmg/live/923287339$订阅源

💰央视付费频道,#genre#
第一剧场,https://7612-5516-affc-d88b.kylintv.tv/live/chinamovie_iphone.m3u8$订阅源

📡卫视频道,#genre#
东南卫视,https://live.chinacert.cftest5.cn/cnmg/live/849116810$订阅源
青海卫视,https://hls-qhmh.lanzhousobey.cn/qhmh/mhds.m3u8$订阅源

☘️江苏频道,#genre#
南京教科,http://nklive.nbs.cn/hls/75b3c462-b831-4de7-a34b-5d3221db2069/index.m3u8$订阅源
南京新闻综合,http://nklive.nbs.cn/hls/d511bc9d-a694-4453-b3a2-4fc842cc97a1/index.m3u8$订阅源
宜兴新闻,https://live.chinacert.cftest5.cn/cnmg/live/955227996$订阅源
江苏体育,https://live.chinacert.cftest5.cn/cnmg/live/626064707$订阅源
江苏公共,https://live.chinacert.cftest5.cn/cnmg/live/626064693$订阅源
江苏城市,https://live.chinacert.cftest5.cn/cnmg/live/626064714$订阅源
江苏影视,https://live.chinacert.cftest5.cn/cnmg/live/626064697$订阅源
江苏教育,https://live.chinacert.cftest5.cn/cnmg/live/628008321$订阅源
连云港新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731715$订阅源
镇江新闻综合,https://live.chinacert.cftest5.cn/cnmg/live/639731783$订阅源
